number,item_id,name,born,died,nationality,nationality_distractor,occupation,occupation_distractor,lifetime,life_status,life_status_distractor,life_status_year_verb,life_status_year_verb_distractor,life_status_year_before,life_status_year_after,life_status_year_before_match,life_status_year_correct,bio,critical,pronoun,verb,adjectiv,np,spillover1,spillover2,bio_pic,bio_spr,critical_spr,type,tense,condition,match,mismatch,list,bare_verb,prac_correct,prac_incorrect,file_name,pre_task
37,8,Matt Damon,1970,alive,American,Welsh,actor,fashion designer,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Matt Damon is an American actor. He lives in Florida.,"He has appeared with important Hollywood stars, as stated in his biography.",He,has appeared,with important,"Hollywood stars,",as stated in,his biography.,"Look at the picture of Matt Damon, an American actor.",Matt Damon*is*an American*actor.*He*lives*in Florida.,"He*has appeared*with important*Hollywood stars,*as stated in*his biography.",critical,PP,alivePP,yes,match,1,appear,crit,crit,Matt_Damon.jpg,yes
38,8,Matt Damon,1970,alive,American,Welsh,actor,fashion designer,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Matt Damon is an American actor. He lives in Florida.,"He appeared with important Hollywood stars, as stated in his biography.",He,appeared,with important,"Hollywood stars,",as stated in,his biography.,"Look at the picture of Matt Damon, an American actor.",Matt Damon*is*an American*actor.*He*lives*in Florida.,"He*appeared*with important*Hollywood stars,*as stated in*his biography.",critical,PS,alivePS,no,alivePS,2,appear,crit,crit,Matt_Damon.jpg,yes
43,9,Brad Pitt,1963,alive,American,Canadian,actor,scientist,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Brad Pitt is an American actor. He lives in Los Angeles.,"He has released well-received motion pictures, according to his biographer.",He,has released,well-received,"motion pictures,",according to,his biographer.,"Look at the picture of Brad Pitt, a American actor.",Brad Pitt*is*an American*actor.*He*lives*in Los Angeles.,"He*has released*well-received*motion pictures,*according to*his biographer.",critical,PP,alivePP,yes,match,2,release,crit,crit,Brad_Pitt.jpg,yes
44,9,Brad Pitt,1963,alive,American,Canadian,actor,scientist,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Brad Pitt is an American actor. He lives in Los Angeles.,"He released well-received motion pictures, according to his biographer.",He,released,well-received,"motion pictures,",according to,his biographer.,"Look at the picture of Brad Pitt, a American actor.",Brad Pitt*is*an American*actor.*He*lives*in Los Angeles.,"He*released*well-received*motion pictures,*according to*his biographer.",critical,PS,alivePS,no,alivePS,3,release,crit,crit,Brad_Pitt.jpg,yes
49,10,Keanu Reeves,1964,alive,Canadian,American,actor,businessman,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Keanu Reeves is a Canadian actor. He lives in Los Angeles.,"He has played in numerous successful films, as reported by the media.",He,has played,in numerous,"successful films,",as reported by,the media.,"Look at the picture of Keanu Reeves, a Canadian actor.",Keanu Reeves*is*a Canadian*actor.*He*lives*in Los Angeles.,"He*has played*in numerous*successful films,*as reported by*the media.",critical,PP,alivePP,yes,match,3,play,crit,crit,Keanu_Reeves.jpg,yes
50,10,Keanu Reeves,1964,alive,Canadian,American,actor,businessman,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Keanu Reeves is a Canadian actor. He lives in Los Angeles.,"He played in numerous successful films, as reported by the media.",He,played,in numerous,"successful films,",as reported by,the media.,"Look at the picture of Keanu Reeves, a Canadian actor.",Keanu Reeves*is*a Canadian*actor.*He*lives*in Los Angeles.,"He*played*in numerous*successful films,*as reported by*the media.",critical,PS,alivePS,no,alivePS,4,play,crit,crit,Keanu_Reeves.jpg,yes
55,11,Emma Watson,1990,alive,English,American,actress,film-maker,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Emma Watson is an English actress. She lives in Los Angeles.,"She has starred in prominent feature films, as reported by the media.",She,has starred,in prominent,"feature movies,",as reported by,the media.,"Look at the picture of Emma Watson, an English actress.",Emma Watson*is*an English*actress.*She*lives*in Los Angeles.,"She*has starred*in prominent*feature films,*as reported by*the media.",critical,PP,alivePP,yes,match,4,star,crit,crit,Emma_Watson.jpg,yes
56,11,Emma Watson,1990,alive,English,American,actress,film-maker,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Emma Watson is an English actress. She lives in Los Angeles.,"She starred in prominent feature films, as reported by the media.",She,starred,in prominent,"feature movies,",as reported by,the media.,"Look at the picture of Emma Watson, an English actress.",Emma Watson*is*an English*actress.*She*lives*in Los Angeles.,"She*starred*in prominent*feature films,*as reported by*the media.",critical,PS,alivePS,no,alivePS,5,star,crit,crit,Emma_Watson.jpg,yes
61,12,David Lynch,1946,alive,American,Russian,film-maker,scientist,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,David Lynch is an American film-maker. He lives in Los Angeles.,"He has produced well-received feature films, according to Wikipedia.",He,has produced,well-received,"feature films,",according to,Wikipedia.,"Look at the picture of David Lynch, an American film-maker.",David Lynch*is*an American*film-maker.*He*lives*in Los Angeles.,"He*has produced*well-received*feature films,*according to*Wikipedia.",critical,PP,alivePP,yes,match,5,produce,crit,crit,David_Lynch.png,yes
62,12,David Lynch,1946,alive,American,Russian,film-maker,scientist,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,David Lynch is an American film-maker. He lives in Los Angeles.,"He produced well-received feature films, according to Wikipedia.",He,produced,well-received,"feature films,",according to,Wikipedia.,"Look at the picture of David Lynch, an American film-maker.",David Lynch*is*an American*film-maker.*He*lives*in Los Angeles.,"He*produced*well-received*feature films,*according to*Wikipedia.",critical,PS,alivePS,no,alivePS,6,produce,crit,crit,David_Lynch.png,yes
67,13,Childish Gambino,1983,alive,American,Australian,musician,comedian,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Childish Gambino is an American musician. He lives in New York City.,"He has released popular music records, according to the media.",He,has released,popular,"music records,",according to,the media.,"Look at the picture of Childish Gambino, an American musician.",Childish Gambino*is*an American*musician.*He*lives*in New York City.,"He*has released*popular*music records,*according to*the media.",critical,PP,alivePP,yes,match,6,release,crit,crit,Childish_Gambino.jpg,yes
68,13,Childish Gambino,1983,alive,American,Australian,musician,comedian,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Childish Gambino is an American musician. He lives in New York City.,"He released popular music records, according to the media.",He,released,popular,"music records,",according to,the media.,"Look at the picture of Childish Gambino, an American musician.",Childish Gambino*is*an American*musician.*He*lives*in New York City.,"He*released*popular*music records,*according to*the media.",critical,PS,alivePS,no,alivePS,1,release,crit,crit,Childish_Gambino.jpg,yes
73,14,Bruno Mars,1985,alive,American,Irish,musician,film-maker,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Bruno Mars is an American musician. He lives in Los Angeles.,"He has performed in numerous music festivals, as reported by his biographer.",He,has performed,in numerous,"music festivals,",as reported by,his biographer.,"Look at the picture of Bruno Mars, an American musician.",Bruno Mars*is*an American*musician.*He*lives*in Los Angeles.,"He*has performed*in numerous*music festivals,*as reported by*his biographer.",critical,PP,alivePP,yes,match,1,perform,crit,crit,Bruno_Mars.jpg,yes
74,14,Bruno Mars,1985,alive,American,Irish,musician,film-maker,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Bruno Mars is an American musician. He lives in Los Angeles.,"He performed in numerous music festivals, as reported by his biographer.",He,performed,in numerous,"music festivals,",as reported by,his biographer.,"Look at the picture of Bruno Mars, an American musician.",Bruno Mars*is*an American*musician.*He*lives*in Los Angeles.,"He*performed*in numerous*music festivals,*as reported by*his biographer.",critical,PS,alivePS,no,alivePS,2,perform,crit,crit,Bruno_Mars.jpg,yes
79,17,Justin Timberlake,1981,alive,American,Irish,musician,actor,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Justin Timberlake is an American musician. He lives in California.,"He has played in numerous music halls, so his biography states.",He,has played,in numerous,"music halls,",so his,biography states.,"Look at the picture of Justin Timberlake, an American musician.",Justin Timberlake*is*an American*musician.*He*lives*in California.,"He*has played*in numerous*music halls,*so his*biography states.",critical,PP,alivePP,yes,match,2,play,crit,crit,Justin_Timberlake.jpg,yes
80,17,Justin Timberlake,1981,alive,American,Irish,musician,actor,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Justin Timberlake is an American musician. He lives in California.,"He played in numerous music halls, so his biography states.",He,played,in numerous,"music halls,",so his,biography states.,"Look at the picture of Justin Timberlake, an American musician.",Justin Timberlake*is*an American*musician.*He*lives*in California.,"He*played*in numerous*music halls,*so his*biography states.",critical,PS,alivePS,no,alivePS,3,play,crit,crit,Justin_Timberlake.jpg,yes
85,18,Bob Dylan,1941,alive,American,Australian,musician,royal,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Bob Dylan is an American musician. He lives in California.,"He has played numerous concerts, according to his memoir.",He,has played,numerous,"concerts,",according to,his memoir.,"Look at the picture of Bob Dylan, an American musician.",Bob Dylan*is*an American*musician.*He*lives*in California.,"He*has played*numerous*concerts,*according to*his memoir.",critical,PP,alivePP,yes,match,3,play,crit,crit,Bob_Dylan.jpg,yes
86,18,Bob Dylan,1941,alive,American,Australian,musician,royal,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Bob Dylan is an American musician. He lives in California.,"He played numerous concerts, according to his memoir.",He,played,numerous,"concerts,",according to,his memoir.,"Look at the picture of Bob Dylan, an American musician.",Bob Dylan*is*an American*musician.*He*lives*in California.,"He*played*numerous*concerts,*according to*his memoir.",critical,PS,alivePS,no,alivePS,4,play,crit,crit,Bob_Dylan.jpg,yes
91,19,Nick Cave,1957,alive,Australian,American,musician,politician,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Nick Cave is an Australian musician. He lives in Brighton.,"He has sold popular records, so his memoir says.",He,has sold,popular,"records,",so his,memoir says.,"Look at the picture of Nick Cave, an Australian musician.",Nick Cave*is*an Australian*musician.*He*lives*in Brighton.,"He*has sold*popular*records,*so his*memoir says.",critical,PP,alivePP,yes,match,4,sell,crit,crit,Nick_Cave.png,yes
92,19,Nick Cave,1957,alive,Australian,American,musician,politician,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Nick Cave is an Australian musician. He lives in Brighton.,"He sold popular records, so his memoir says.",He,sold,popular,"records,",so his,memoir says.,"Look at the picture of Nick Cave, an Australian musician.",Nick Cave*is*an Australian*musician.*He*lives*in Brighton.,"He*sold*popular*records,*so his*memoir says.",critical,PS,alivePS,no,alivePS,5,sell,crit,crit,Nick_Cave.png,yes
97,20,Britney Spears,1986,alive,American,Polish,singer,actress,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Britney Spears is an American singer. She lives in California.,"She has performed in prestigious arenas, as stated in her biography.",She,has performed,in prestigious,"arenas,",as stated in,her biography.,"Look at the picture of Britney Spears, an American singer.",Britney Spears*is*an American*singer.*She*lives*in California.,"She*has performed*in prestigious*arenas,*as stated in*her biography.",critical,PP,alivePP,yes,match,5,perform,crit,crit,Britney_Spears.png,yes
98,20,Britney Spears,1986,alive,American,Polish,singer,actress,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Britney Spears is an American singer. She lives in California.,"She performed in prestigious arenas, as stated in her biography.",She,performed,in prestigious,"arenas,",as stated in,her biography.,"Look at the picture of Britney Spears, an American singer.",Britney Spears*is*an American*singer.*She*lives*in California.,"She*performed*in prestigious*arenas,*as stated in*her biography.",critical,PS,alivePS,no,alivePS,6,perform,crit,crit,Britney_Spears.png,yes
103,21,Lana Del Rey,1985,alive,American,French,musician,politician,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Lana Del Rey is an American musician. She lives in Los Angeles.,"She has appeared in popular music videos, as stated in her memoir.",She,has appeared,in popular,"music videos,",as stated in,her memoir.,"Look at the picture of Lana Del Rey, an American musician.",Lana Del Rey*is*an American*musician.*She*lives*in Los Angeles.,"She*has appeared*in popular*music videos,*as stated in*her memoir.",critical,PP,alivePP,yes,match,6,appear,crit,crit,Lana_del_Rey.jpg,yes
104,21,Lana Del Rey,1985,alive,American,French,musician,politician,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Lana Del Rey is an American musician. She lives in Los Angeles.,"She appeared in popular music videos, as stated in her memoir.",She,appeared,in popular,"music videos,",as stated in,her memoir.,"Look at the picture of Lana Del Rey, an American musician.",Lana Del Rey*is*an American*musician.*She*lives*in Los Angeles.,"She*appeared*in popular*music videos,*as stated in*her memoir.",critical,PS,alivePS,no,alivePS,1,appear,crit,crit,Lana_del_Rey.jpg,yes
109,22,Noam Chomsky,1928,alive,American,Czech,scientist,musician,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Noam Chomsky is an American scientist. He lives in Arizona.,"He has received prestigious scientific awards, as reported by his memoir.",He,has received,prestigious,"scientific awards,",as reported by,his memoir.,"Look at the picture of Noam Chomsky, an American scientist.",Noam Chomsky*is*an American*scientist.*He*lives*in Arizona.,"He*has received*prestigious*scientific awards,*as reported by*his memoir.",critical,PP,alivePP,yes,match,1,receive,crit,crit,Noam_Chomsky.jpg,yes
110,22,Noam Chomsky,1928,alive,American,Czech,scientist,musician,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Noam Chomsky is an American scientist. He lives in Arizona.,"He received prestigious scientific awards, as reported by his memoir.",He,received,prestigious,"scientific awards,",as reported by,his memoir.,"Look at the picture of Noam Chomsky, an American scientist.",Noam Chomsky*is*an American*scientist.*He*lives*in Arizona.,"He*received*prestigious*scientific awards,*as reported by*his memoir.",critical,PS,alivePS,no,alivePS,2,receive,crit,crit,Noam_Chomsky.jpg,yes
115,23,Boris Johnson,1964,alive,British,Irish,politician,singer,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Boris Johnson is a British politician. He lives in London.,"He has appeared in prominent political debates, as reported by the media.",He,has appeared,in prominent,"political debates,",as reported by,the media.,"Look at the picture of Boris Johnson, a British politician.",Boris Johnson*is*a British*politician.*He*lives*in London.,"He*has appeared*in prominent*political debates,*as reported by*the media.",critical,PP,alivePP,yes,match,2,appear,crit,crit,Boris_Johnson.png,yes
116,23,Boris Johnson,1964,alive,British,Irish,politician,singer,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Boris Johnson is a British politician. He lives in London.,"He appeared in prominent political debates, as reported by the media.",He,appeared,in prominent,"political debates,",as reported by,the media.,"Look at the picture of Boris Johnson, a British politician.",Boris Johnson*is*a British*politician.*He*lives*in London.,"He*appeared*in prominent*political debates,*as reported by*the media.",critical,PS,alivePS,no,alivePS,3,appear,crit,crit,Boris_Johnson.png,yes
121,25,Emmanuel Macron,1977,alive,French,British,politician,comedian,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Emmanuel Macron is a French politician. He lives in Paris.,"He has won important elections, as stated in his biography.",He,has won,important,"elections,",as stated in,his biography.,"Look at the picture of Emmanuel Macron, a French politician.",Emmanuel Macron*is*a French*politician.*He*lives*in Paris.,"He*has won*important*elections,*as stated in*his biography.",critical,PP,alivePP,yes,match,3,win,crit,crit,Emmanuel_Macron.jpg,yes
122,25,Emmanuel Macron,1977,alive,French,British,politician,comedian,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Emmanuel Macron is a French politician. He lives in Paris.,"He won important elections, as stated in his biography.",He,won,important,"elections,",as stated in,his biography.,"Look at the picture of Emmanuel Macron, a French politician.",Emmanuel Macron*is*a French*politician.*He*lives*in Paris.,"He*won*important*elections,*as stated in*his biography.",critical,PS,alivePS,no,alivePS,4,win,crit,crit,Emmanuel_Macron.jpg,yes
127,26,Angela Merkel,1954,alive,German,Swiss,politician,activist,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Angela Merkel is a German politician. She lives in Berlin.,"She has won well-deserved re-elections, so her biography states.",She,has won,well-deserved,"re-elections, ",so her,biography states.,"Look at the picture of Angela Merkel, a German politician.",Angela Merkel*is*a German*politician.*She*lives*in Berlin.,"She*has won*well-deserved*re-elections,*so her*biography states.",critical,PP,alivePP,yes,match,4,win,crit,crit,Angela_Merkel.jpg,yes
128,26,Angela Merkel,1954,alive,German,Swiss,politician,activist,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Angela Merkel is a German politician. She lives in Berlin.,"She won well-deserved re-elections, so her biography states.",She,won,well-deserved,"re-elections, ",so her,biography states.,"Look at the picture of Angela Merkel, a German politician.",Angela Merkel*is*a German*politician.*She*lives*in Berlin.,"She*won*well-deserved*re-elections,*so her*biography states.",critical,PS,alivePS,no,alivePS,5,win,crit,crit,Angela_Merkel.jpg,yes
133,31,John Oliver,1977,alive,British,Swedish,TV personality,musician,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,John Oliver is a British TV personality. He lives in New York City.,"He has hosted high-ranking TV programs, as stated on Wikipedia.",He,has hosted,high-ranking,"TV programs,",as stated on,Wikipedia.,"Look at the picture of John Oliver, a British TV personality.",John Oliver*is*a British*TV personality.*He*lives*in New York City.,"He*has hosted*high-ranking*TV programs,*as stated on*Wikipedia.",critical,PP,alivePP,yes,match,5,host,crit,crit,John_Oliver.png,yes
134,31,John Oliver,1977,alive,British,Swedish,TV personality,musician,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,John Oliver is a British TV personality. He lives in New York City.,"He hosted high-ranking TV programs, as stated on Wikipedia.",He,hosted,high-ranking,"TV programs,",as stated on,Wikipedia.,"Look at the picture of John Oliver, a British TV personality.",John Oliver*is*a British*TV personality.*He*lives*in New York City.,"He*hosted*high-ranking*TV programs,*as stated on*Wikipedia.",critical,PS,alivePS,no,alivePS,6,host,crit,crit,John_Oliver.png,yes
139,32,Prince William,1982,alive,British,Canadian,royal,activist,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Prince William is a British royal. He lives in London.,"He has received numerous royal titles, as reported by his biographer.",He,has received,numerous,"royal titles,",as reported by,his biographer.,"Look at the picture of Prince William, a British royal.",Prince William*is*a British*royal.*He*lives*in London.,"He*has received*numerous*royal titles,*as reported by*his biographer.",critical,PP,alivePP,yes,match,6,receive,crit,crit,Prince_William.png,yes
140,32,Prince William,1982,alive,British,Canadian,royal,activist,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Prince William is a British royal. He lives in London.,"He received numerous royal titles, as reported by his biographer.",He,received,numerous,"royal titles,",as reported by,his biographer.,"Look at the picture of Prince William, a British royal.",Prince William*is*a British*royal.*He*lives*in London.,"He*received*numerous*royal titles,*as reported by*his biographer.",critical,PS,alivePS,no,alivePS,1,receive,crit,crit,Prince_William.png,yes
3,1,Charlie Chaplin,1889,1977,English,American,actor,singer,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Charlie Chaplin was an English actor. He died in Switzerland.,"He has received prestigious acting awards, as reported by his website.",He,has received,prestigious,"acting awards,",as reported by,his website.,"Look at the picture of Charlie Chaplin, a English actor.",Charlie Chaplin*was*an English*actor.*He*died*in Switzerland.,"He*has received*prestigious*acting awards,*as reported by*his website.",critical,PP,historicallyPP,no,historicallyPP,3,receive,crit,crit,Charlie_Chaplin.jpg,yes
4,1,Charlie Chaplin,1889,1977,English,American,actor,singer,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Charlie Chaplin was an English actor. He died in Switzerland.,"He received prestigious acting awards, as reported by his website.",He,received,prestigious,"acting awards,",as reported by,his website.,"Look at the picture of Charlie Chaplin, a English actor.",Charlie Chaplin*was*an English*actor.*He*died*in Switzerland.,"He*received*prestigious*acting awards,*as reported by*his website.",critical,PS,historicallyPS,yes,match,4,receive,crit,crit,Charlie_Chaplin.jpg,yes
5,1,Sean Connery,1930,2020,Scottish,Canadian,actor,singer,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Sean Connery was a Scottish actor. He died in the Bahamas.,"He has received prestigious acting awards, as reported by his website.",He,has received,prestigious,"acting awards,",as reported by,his website.,"Look at the picture of Sean Connery, a Scottish actor.",Sean Connery*was*a Scottish*actor.*He*died*in the Bahamas.,"He*has received*prestigious*acting awards,*as reported by*his website.",critical,PP,recentlyPP,no,recentlyPP,5,receive,crit,crit,Sean_Connery.jpg,yes
6,1,Sean Connery,1930,2020,Scottish,Canadian,actor,singer,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Sean Connery was a Scottish actor. He died in the Bahamas.,"He received prestigious acting awards, as reported by his website.",He,received,prestigious,"acting awards,",as reported by,his website.,"Look at the picture of Sean Connery, a Scottish actor.",Sean Connery*was*a Scottish*actor.*He*died*in the Bahamas.,"He*received*prestigious*acting awards,*as reported by*his website.",critical,PS,recentlyPS,yes,match,6,receive,crit,crit,Sean_Connery.jpg,yes
9,2,Henry Fonda,1905,1982,American,Spanish,actor,politician,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Henry Fonda was an American actor. He died in Los Angeles.,"He has starred in critically acclaimed film productions, so his memoir says.",He,has starred,in critically acclaimed,"film productions,",so his,memoir says.,"Look at the picture of Henry Fonda, an American actor.",Henry Fonda*was*an American*actor.*He*died*in Los Angeles.,"He*has starred*in critically acclaimed*film productions,*so his*memoir says.",critical,PP,historicallyPP,no,historicallyPP,4,star,crit,crit,Henry_Fonda.jpg,yes
